gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,99,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,Celerio,,"13,217 kms",Petrol,automatic,"5,35,500",EMI,@,"? 10,843",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,30,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,Ciaz,,"58,124 kms",Petrol,manual,"7,72,500",EMI,@,"? 23,259",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,44,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,Ciaz,,"13,805 kms",Petrol,manual,"8,45,000",EMI,@,"? 25,442",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,76,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Hyundai,EON,,"18,802 kms",Petrol,manual,"3,66,500",EMI,@,"? 8,768",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,44,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Maruti,Wagon,R,"45,528 kms",Petrol,manual,"4,11,000",EMI,@,"? 32,952",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,77,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Maruti,Wagon,R,"27,778 kms",Petrol,manual,"4,14,500",EMI,@,"? 17,648",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,71,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Hyundai,i20,,"16,654 kms",Petrol,manual,"9,34,000",EMI,@,"? 18,912",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,16,https://stimg.cardekho.com/pwa/img/spacer3x2.png,37,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Maruti,Wagon,R,"36,599 kms",Petrol,manual,"3,95,000",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,43,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Hyundai,i10,,"46,048 kms",Petrol,manual,"3,02,000",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,66,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Datsun,RediGO,,"7,067 kms",Petrol,manual,"3,16,000",EMI,@,"? 6,399",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,53,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,Amaze,,"23,213 kms",Petrol,manual,"6,78,500",EMI,@,"? 16,232",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,42,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Maruti,Alto,800,"11,427 kms",Petrol,manual,"3,24,000",EMI,@,"? 25,977",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,140,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2011,Maruti,Alto,,"38,956 kms",Petrol,manual,"1,85,000",,,,
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,78,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Maruti,Wagon,R,"17,394 kms",Petrol,manual,"6,29,000",EMI,@,"? 12,737",
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,61,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Maruti,Baleno,,"12,242 kms",Petrol,automatic,"7,96,000",EMI,@,"? 16,118",
