gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,fixedpriceText,emitextCard,emitextCard 2,emitextCard 3,place
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,428,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Kia,Seltos,,"20,114 kms",Petrol,manual,"10,50,000",,EMI,@,"? 21,261",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,272,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Hyundai,Creta,,"41,422 kms",Petrol,manual,"12,36,500",Fixed Price,EMI,@,"? 25,037",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,215,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Hyundai,i10,,"87,254 kms",Petrol,manual,"2,80,500",Fixed Price,,,,New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,10,https://stimg.cardekho.com/pwa/img/spacer3x2.png,260,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,City,,"1,04,291 kms",Petrol,manual,"5,05,000",,EMI,@,"? 40,489",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,108,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Maruti,Alto,K10,"32,170 kms",Petrol,manual,"2,38,500",Fixed Price,,,,New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,80,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2011,Hyundai,i10,,"58,393 kms",Petrol,manual,"2,12,000",Fixed Price,,,,New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,32,https://stimg.cardekho.com/pwa/img/spacer3x2.png,204,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Tata,Tiago,,"18,962 kms",Petrol,manual,"4,45,000",,EMI,@,"? 9,011",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,20,https://stimg.cardekho.com/pwa/img/spacer3x2.png,199,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Maruti,Swift,,"61,430 kms",Petrol,manual,"3,38,000",Fixed Price,,,,New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,137,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Hyundai,Grand,i10,"62,428 kms",Petrol,manual,"4,20,000",,EMI,@,"? 12,646",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,272,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Datsun,RediGO,,"37,152 kms",Petrol,manual,"2,08,500",Fixed Price,EMI,@,"? 8,878",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,20,https://stimg.cardekho.com/pwa/img/spacer3x2.png,308,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Hyundai,Creta,,"35,461 kms",Petrol,manual,"8,78,000",Fixed Price,EMI,@,"? 37,383",New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,15,https://stimg.cardekho.com/pwa/img/spacer3x2.png,253,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Maruti,Swift,,"89,923 kms",Petrol,manual,"3,08,000",Fixed Price,,,,New Delhi
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/spacer3x2.png,123,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Maruti,Alto,K10,"7,990 kms",Petrol,manual,"3,60,000",Fixed Price,EMI,@,"? 7,290",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_VCC_1277007_24_1637045727_1313874_24_1640345469.jpg,CarDekho Assured,13,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,192,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Renault,KWID,,"83,594 kms",Petrol,manual,"2,32,000",Fixed Price,EMI,@,"? 9,878",New Delhi
https://cdn.spincar.com/swipetospin-viewers/CarDekhoStudio/2687986/20211230160438.NQJ64YQP/closeups/cu-1.jpg,CarDekho Assured,32,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,153,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Maruti,Ciaz,,"66,732 kms",Petrol,manual,"6,60,000",,EMI,@,"? 19,872",New Delhi
https://images10.gaadicdn.com/usedcar_image/original/VCC_1328849_24_1641819001.jpg,CarDekho Assured,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,211,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Renault,KWID,,"21,889 kms",Petrol,manual,"2,63,500",Fixed Price,EMI,@,"? 7,934",New Delhi
