gsc_col-xs-12 src,assured,photoNumber,imageTransition src,views,imageTransition src 2,model_year,company,model,variant,distance_covered,type,gear,price,emitextCard,emitextCard 2,emitextCard 3,place
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61a4bd2376e1e_1638186275.jpg,CarDekho Partner Car,24,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,8,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2015,Hyundai,Elantra,,"73,398 kms",Diesel,manual,"6,75,000",EMI,@,"? 54,118",Ahmedabad
https://images10.gaadicdn.com/usedcar_image/original/zz1_crop_img_61a8af9c70933_1638444956.jpg,CarDekho Partner Car,17,https://stimg.cardekho.com/pwa/img/UCdetailNew/cameranew.svg,12,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2016,Toyota,Innova,Crysta,"1,03,000 kms",Diesel,manual,"14,00,000",EMI,@,"? 59,608",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,25,https://stimg.cardekho.com/pwa/img/spacer3x2.png,7,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Maruti,Swift,Dzire,"80,000 kms",Diesel,manual,"3,65,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,1,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Maruti,Alto,K10,"35,000 kms",Petrol,manual,"2,80,000",,,,Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,1,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Ford,Figo,,"60,000 kms",Diesel,manual,"4,25,000",EMI,@,"? 18,096",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,4,https://stimg.cardekho.com/pwa/img/spacer3x2.png,6,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Volkswagen,Polo,,"48,000 kms",Diesel,manual,"5,50,000",EMI,@,"? 16,560",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,2,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Honda,Amaze,,"55,000 kms",Diesel,manual,"5,50,000",EMI,@,"? 16,560",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,14,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Hyundai,Verna,,"60,000 kms",Diesel,manual,"6,50,000",EMI,@,"? 19,571",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,17,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2017,Maruti,Ertiga,,"45,000 kms",Diesel,manual,"6,50,000",EMI,@,"? 19,571",Ahmedabad
https://stimg.cardekho.com/pwa/img/spacer3x2.png,CarDekho Partner Car,,,14,https://stimg.cardekho.com/pwa/img/UCdetailNew/eye.svg,2018,Hyundai,Grand,i10,"30,000 kms",Petrol,manual,"5,50,000",EMI,@,"? 13,158",Ahmedabad
